cruise_line,cruise_ship,date,score
"Mitsui O.S.K. Passenger Line, Ltd",Nippon Maru,6/10/2012,95
Norwegian Cruise Lines,Norwegian Dawn,6/1/2012,98
Holland America Line,Oosterdam,6/3/2012,99
Royal Caribbean International,Rhapsody Of The Seas,6/22/2012,97
Princess Cruises,Sapphire Princess,6/26/2012,98
Lindblad Expeditions,Sea Bird,6/24/2012,97
Lindblad Expeditions,Sea Lion,6/23/2012,98
Holland America Line,Westerdam,6/9/2012,95
"Carnival Cruise Lines, Inc.",Carnival Dream,7/14/2012,93
"Carnival Cruise Lines, Inc.",Carnival Elation,7/19/2012,98
"Carnival Cruise Lines, Inc.",Carnival Fascination,7/16/2012,93
"Carnival Cruise Lines, Inc.",Carnival Freedom,7/23/2012,100
"Carnival Cruise Lines, Inc.",Carnival Imagination,7/24/2012,100
"Carnival Cruise Lines, Inc.",Carnival Sensation,7/15/2012,93
"Carnival Cruise Lines, Inc.",Carnival Splendor,7/8/2012,100
"Carnival Cruise Lines, Inc.",Carnival Triumph,7/7/2012,96
Celebrity Cruises,Celebrity Infinity,7/9/2012,98
Celebrity Cruises,Celebrity Millennium,7/17/2012,90
Celebrity Cruises,Celebrity Summit,7/22/2012,90
Princess Cruises,Coral Princess,7/16/2012,100
Disney Cruise Lines,Disney Magic,7/20/2012,91
Royal Caribbean International,Explorer Of The Seas,7/5/2012,99
Hapag Lloyd Kreuzfahrten Gmbh,Hanseatic,7/15/2012,94
Royal Caribbean International,Majesty Of The Seas,7/26/2012,99
V. Ships Leisure U.S.A.,MV Yorktown,7/14/2012,74
Norwegian Cruise Lines,Norwegian Jewel,7/11/2012,100
Norwegian Cruise Lines,Norwegian Pearl,7/10/2012,100
Norwegian Cruise Lines,Norwegian Sky,7/13/2012,97
Norwegian Cruise Lines,Norwegian Star,7/8/2012,97
Cunard Line,Queen Mary 2,7/6/2012,100
Holland America Line,Statendam,7/12/2012,98
ResidenSea,The World,7/31/2012,97
Royal Caribbean International,Allure of the Seas,8/5/2012,97
"Carnival Cruise Lines, Inc.",Carnival Fantasy,8/24/2012,98
Princess Cruises,Diamond Princess,8/25/2012,100
V. Ships Leisure U.S.A.,MV Explorer,8/18/2012,98
Royal Caribbean International,Oasis Of The Seas,8/11/2012,97
Royal Caribbean International,Radiance Of The Seas,8/26/2012,99
Regent Seven Seas,Seven Seas Navigator,8/4/2012,92
Princess Cruises,Star Princess,8/1/2012,93
Holland America Line,Veendam,8/19/2012,77
Holland America Line,Volendam,8/3/2012,99
Holland America Line,Zaandam,8/2/2012,98
Holland America Line,Zuiderdam,8/27/2012,100
Aida Cruises,AIDAaura,9/13/2012,100
Aida Cruises,AIDAluna,9/23/2012,93
P&O Cruises,Arcadia,9/26/2012,94
P&O Cruises,Aurora,9/12/2012,100
"Celebration Cruise Line, Ltd",Bahamas Celebration,9/26/2012,96
Royal Caribbean International,Brilliance Of The Seas,9/21/2012,97
America Cruise Ferries,Caribbean Fantasy,9/7/2012,87
Princess Cruises,Caribbean Princess,9/22/2012,99
"Crystal Cruises , Inc.",Crystal Symphony,9/24/2012,96
Royal Caribbean International,Enchantment Of The Seas,9/20/2012,97
Blount Small Ship Adventures,Grande Caribe,9/28/2012,81
Blount Small Ship Adventures,Grande Mariner,9/18/2012,75
Royal Caribbean International,Jewel Of The Seas,9/23/2012,100
Compagnie Du Ponant SA,Le Boreal,9/14/2012,100
V. Ships Leisure U.S.A.,MV Yorktown,9/8/2012,69
Oceania Cruises,Regatta,9/24/2012,96
Princess Cruises,Sea Princess,9/5/2012,98
Silversea Cruises Ltd,Silver Shadow,9/3/2012,95
Phoenix Reissen Cruise Line,Artania,10/9/2012,76
Salen Ship Management AB,Caledonian Sky,10/7/2012,93
"Carnival Cruise Lines, Inc.",Carnival Conquest,10/28/2012,96
"Carnival Cruise Lines, Inc.",Carnival Dream,10/20/2012,93
"Carnival Cruise Lines, Inc.",Carnival Magic,10/14/2012,100
"Carnival Cruise Lines, Inc.",Carnival Miracle,10/24/2012,96
"Carnival Cruise Lines, Inc.",Carnival Sunshine,10/1/2012,96
"Carnival Cruise Lines, Inc.",Carnival Valor,10/13/2012,99
Celebrity Cruises,Celebrity Infinity,10/8/2012,97
Disney Cruise Lines,Disney Dream,10/21/2012,100
Disney Cruise Lines,Disney Magic,10/13/2012,95
Princess Cruises,Emerald Princess,10/18/2012,100
Royal Caribbean International,Explorer Of The Seas,10/21/2012,95
Blount Small Ship Adventures,Grande Mariner,10/17/2012,91
Holland America Line,Maasdam,10/18/2012,93
Royal Caribbean International,Monarch Of The Seas,10/19/2012,90
Norwegian Cruise Lines,Norwegian Dawn,10/19/2012,100
Norwegian Cruise Lines,Norwegian Star,10/25/2012,99
Seabourn Cruise Line,Seabourn Sojourn,10/10/2012,90
Silversea Cruises Ltd,Silver Whisper,10/20/2012,98
Holland America Line,Veendam,10/7/2012,92
Royal Caribbean International,Vision Of The Seas,10/5/2012,95
Aida Cruises,AIDAaura,11/12/2012,89
Phoenix Reissen Cruise Line,Amadea,11/12/2012,63
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,11/10/2012,98
"Carnival Cruise Lines, Inc.",Carnival Elation,11/17/2012,96
"Carnival Cruise Lines, Inc.",Carnival Imagination,11/5/2012,96
"Carnival Cruise Lines, Inc.",Carnival Legend,11/11/2012,94
Princess Cruises,Grand Princess,11/24/2012,100
Royal Caribbean International,Liberty of the Seas,11/10/2012,98
Royal Caribbean International,Mariner Of The Seas,11/18/2012,97
Royal Caribbean International,Navigator Of The Seas,11/17/2012,100
Holland America Line,Noordam,11/13/2012,100
Norwegian Cruise Lines,Norwegian Epic,11/14/2012,99
Norwegian Cruise Lines,Norwegian Gem,11/16/2012,93
Princess Cruises,Ruby Princess,11/4/2012,99
Royal Caribbean International,Adventure Of The Seas,12/16/2012,100
Royal Caribbean International,Allure of the Seas,12/12/2012,98
Royal Caribbean International,Brilliance Of The Seas,12/15/2012,88
"Carnival Cruise Lines, Inc.",Carnival Breeze,12/2/2012,100
"Carnival Cruise Lines, Inc.",Carnival Freedom,12/18/2012,99
"Carnival Cruise Lines, Inc.",Carnival Inspiration,12/7/2012,94
Celebrity Cruises,Celebrity Eclipse,12/1/2012,96
Celebrity Cruises,Celebrity Reflection,12/1/2012,99
Costa Crociere S.P.A.,Costa Mediterranea,12/5/2012,94
"Crystal Cruises , Inc.",Crystal Serenity,12/21/2012,93
Royal Caribbean International,Independence of the Seas,12/13/2012,95
MSC Cruises (Mediterranean Shipping Company),MSC Poesia,12/14/2012,94
Holland America Line,Nieuw Amsterdam,12/30/2012,98
Oceania Cruises,Oceania Riviera,12/10/2012,98
Holland America Line,Ryndam,12/2/2012,95
Seabourn Cruise Line,Seabourn Legend,12/17/2012,97
Seabourn Cruise Line,Seabourn Quest,12/19/2012,98
Sea Dream Yacht Club,Seadream I,12/17/2012,98
Silversea Cruises Ltd,Silver Spirit,12/20/2012,100
Holland America Line,Amsterdam,1/5/2013,97
America Cruise Ferries,Caribbean Fantasy,1/18/2013,81
"Carnival Cruise Lines, Inc.",Carnival Glory,1/17/2013,98
"Carnival Cruise Lines, Inc.",Carnival Pride,1/23/2013,98
Celebrity Cruises,Celebrity Silhouette,1/16/2013,99
Celebrity Cruises,Celebrity Summit,1/19/2013,81
Disney Cruise Lines,Disney Fantasy,1/16/2013,100
Holland America Line,Eurodam,1/22/2013,100
Royal Caribbean International,Jewel Of The Seas,1/24/2013,88
Royal Caribbean International,Monarch Of The Seas,1/25/2013,92
Royal Caribbean International,Oasis Of The Seas,1/15/2013,100
Princess Cruises,Pacific Princess,1/17/2013,93
Holland America Line,Prinsendam,1/5/2013,96
Cunard Line,Queen Victoria,1/21/2013,89
Oceania Cruises,Regatta,1/4/2013,93
Sea Dream Yacht Club,Seadream II,1/20/2013,84
Regent Seven Seas,Seven Seas Mariner,1/7/2013,95
Phoenix Reissen Cruise Line,Amadea,2/19/2013,94
"Celebration Cruise Line, Ltd",Bahamas Celebration,2/13/2013,96
"Carnival Cruise Lines, Inc.",Carnival Fantasy,2/23/2013,98
"Carnival Cruise Lines, Inc.",Carnival Fascination,2/21/2013,84
"Carnival Cruise Lines, Inc.",Carnival Liberty,2/16/2013,99
"Carnival Cruise Lines, Inc.",Carnival Paradise,2/18/2013,96
"Carnival Cruise Lines, Inc.",Carnival Sensation,2/3/2013,100
Celebrity Cruises,Celebrity Century,2/8/2013,78
Princess Cruises,Coral Princess,2/21/2013,99
Costa Crociere S.P.A.,Costa Deliziosa,2/11/2013,87
Costa Crociere S.P.A.,Costa Mediterranea,2/28/2013,95
Disney Cruise Lines,Disney Wonder,2/2/2013,92
Royal Caribbean International,Freedom Of The Seas,2/17/2013,96
Princess Cruises,Golden Princess,2/7/2013,81
Royal Caribbean International,Navigator Of The Seas,2/16/2013,100
Holland America Line,Noordam,2/18/2013,91
Norwegian Cruise Lines,Norwegian Jewel,2/19/2013,99
Norwegian Cruise Lines,Norwegian Sky,2/15/2013,96
Cunard Line,Queen Elizabeth,2/9/2013,97
Regent Seven Seas,Seven Seas Navigator,2/16/2013,98
Holland America Line,Zuiderdam,2/25/2013,97
Aida Cruises,AIDAaura,3/19/2013,86
P&O Cruises,Arcadia,3/17/2013,93
Azamara Cruises,Azamara Quest,3/14/2013,90
Celebrity Cruises,Celebrity Constellation,3/4/2013,99
Celebrity Cruises,Celebrity Reflection,3/23/2013,100
Celebrity Cruises,Celebrity Silhouette,3/24/2013,99
Club Med Marine,Club Med 2,3/25/2013,87
"Crystal Cruises , Inc.",Crystal Serenity,3/30/2013,94
Princess Cruises,Emerald Princess,3/7/2013,95
Royal Caribbean International,Liberty of the Seas,3/25/2013,97
Hamburg Cruise SA,MS Hamburg,3/3/2013,89
MSC Cruises (Mediterranean Shipping Company),MSC Poesia,3/2/2013,87
Norwegian Cruise Lines,Norwegian Epic,3/30/2013,91
P&O Cruises,Oriana,3/5/2013,92
Holland America Line,Ryndam,3/10/2013,94
Sea Dream Yacht Club,Seadream I,3/17/2013,99
Silversea Cruises Ltd,Silver Cloud,3/15/2013,96
Royal Caribbean International,Adventure Of The Seas,4/7/2013,88
Princess Cruises,Caribbean Princess,4/20/2013,94
"Carnival Cruise Lines, Inc.",Carnival Freedom,4/28/2013,100
"Carnival Cruise Lines, Inc.",Carnival Splendor,4/16/2013,95
"Carnival Cruise Lines, Inc.",Carnival Victory,4/29/2013,99
Celebrity Cruises,Celebrity Eclipse,4/9/2013,100
Disney Cruise Lines,Disney Magic,4/20/2013,96
Blount Small Ship Adventures,Grande Caribe,4/18/2013,95
Royal Caribbean International,Independence of the Seas,4/7/2013,100
Princess Cruises,Island Princess,4/5/2013,97
Royal Caribbean International,Jewel Of The Seas,4/4/2013,99
Royal Caribbean International,Mariner Of The Seas,4/21/2013,98
V. Ships Leisure U.S.A.,MV Yorktown,4/25/2013,69
Norwegian Cruise Lines,Norwegian Star,4/23/2013,89
Princess Cruises,Ruby Princess,4/7/2013,100
Silversea Cruises Ltd,Silver Spirit,4/5/2013,100
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,5/30/2013,98
"Carnival Cruise Lines, Inc.",Carnival Fascination,5/23/2013,97
"Carnival Cruise Lines, Inc.",Carnival Glory,5/5/2013,96
Celebrity Cruises,Celebrity Solstice,5/8/2013,99
Celebrity Cruises,Celebrity Summit,5/5/2013,95
Disney Cruise Lines,Disney Fantasy,5/25/2013,100
Blount Small Ship Adventures,Grande Mariner,5/20/2013,92
Royal Caribbean International,Grandeur Of The Seas,5/26/2013,94
Royal Caribbean International,Majesty Of The Seas,5/31/2013,97
Norwegian Cruise Lines,Norwegian Pearl,5/5/2013,92
Norwegian Cruise Lines,Norwegian Sky,5/6/2013,96
Oceania Cruises,Oceania Marina,5/24/2013,96
Holland America Line,Prinsendam,5/17/2013,97
Cunard Line,Queen Mary 2,5/3/2013,92
Royal Caribbean International,Radiance Of The Seas,5/10/2013,97
Royal Caribbean International,Rhapsody Of The Seas,5/11/2013,100
Princess Cruises,Sapphire Princess,5/4/2013,92
Silversea Cruises Ltd,Silver Whisper,5/4/2013,94
Princess Cruises,Star Princess,5/7/2013,99
Hapag Lloyd Kreuzfahrten Gmbh,Bremen,6/20/2013,80
"Carnival Cruise Lines, Inc.",Carnival Breeze,6/30/2013,90
"Carnival Cruise Lines, Inc.",Carnival Conquest,6/30/2013,97
"Carnival Cruise Lines, Inc.",Carnival Dream,6/22/2013,100
"Carnival Cruise Lines, Inc.",Carnival Imagination,6/28/2013,99
"Carnival Cruise Lines, Inc.",Carnival Liberty,6/29/2013,93
"Carnival Cruise Lines, Inc.",Carnival Miracle,6/22/2013,90
"Carnival Cruise Lines, Inc.",Carnival Paradise,6/24/2013,95
Celebrity Cruises,Celebrity Century,6/13/2013,94
Celebrity Cruises,Celebrity Millennium,6/11/2013,95
Disney Cruise Lines,Disney Dream,6/23/2013,100
Princess Cruises,Golden Princess,6/9/2013,95
V. Ships Leisure U.S.A.,MV Yorktown,6/3/2013,85
Norwegian Cruise Lines,Norwegian Jewel,6/8/2013,94
Norwegian Cruise Lines,Norwegian Sun,6/21/2013,96
Holland America Line,Oosterdam,6/23/2013,99
Un-Cruise Adventures,Safari Endeavour,6/16/2013,81
Un-Cruise Adventures,Safari Quest,6/14/2013,94
Lindblad Expeditions,Sea Lion,6/15/2013,95
Regent Seven Seas,Seven Seas Navigator,6/16/2013,79
Silversea Cruises Ltd,Silver Shadow,6/17/2013,82
Holland America Line,Volendam,6/14/2013,96
Holland America Line,Westerdam,6/10/2013,99
Royal Caribbean International,Allure of the Seas,7/28/2013,99
"Celebration Cruise Line, Ltd",Bahamas Celebration,7/31/2013,82
Salen Ship Management AB,Caledonian Sky,7/12/2013,95
America Cruise Ferries,Caribbean Fantasy,7/26/2013,81
"Carnival Cruise Lines, Inc.",Carnival Elation,7/27/2013,99
"Carnival Cruise Lines, Inc.",Carnival Fantasy,7/26/2013,99
"Carnival Cruise Lines, Inc.",Carnival Magic,7/21/2013,94
"Carnival Cruise Lines, Inc.",Carnival Valor,7/28/2013,94
"Carnival Cruise Lines, Inc.",Carnival Victory,7/27/2013,100
Princess Cruises,Diamond Princess,7/13/2013,97
Royal Caribbean International,Explorer Of The Seas,7/25/2013,98
Princess Cruises,Island Princess,7/15/2013,95
Norwegian Cruise Lines,Norwegian Breakaway,7/21/2013,97
Norwegian Cruise Lines,Norwegian Dawn,7/19/2013,89
Norwegian Cruise Lines,Norwegian Gem,7/20/2013,100
Oceania Cruises,Regatta,7/17/2013,89
Princess Cruises,Sea Princess,7/25/2013,93
Holland America Line,Zaandam,7/14/2013,100
Holland America Line,Amsterdam,8/27/2013,94
Hapag Lloyd Kreuzfahrten Gmbh,Bremen,8/6/2013,85
"Carnival Cruise Lines, Inc.",Carnival Fascination,8/24/2013,95
"Carnival Cruise Lines, Inc.",Carnival Inspiration,8/19/2013,93
"Carnival Cruise Lines, Inc.",Carnival Pride,8/21/2013,98
"Carnival Cruise Lines, Inc.",Carnival Sensation,8/22/2013,98
"Carnival Cruise Lines, Inc.",Carnival Splendor,8/21/2013,92
Celebrity Cruises,Celebrity Solstice,8/26/2013,100
Celebrity Cruises,Celebrity Summit,8/25/2013,99
Princess Cruises,Coral Princess,8/21/2013,93
Royal Caribbean International,Enchantment Of The Seas,8/23/2013,86
Royal Caribbean International,Freedom Of The Seas,8/25/2013,97
Blount Small Ship Adventures,Grande Caribe,8/22/2013,81
Holland America Line,Maasdam,8/31/2013,97
Royal Caribbean International,Majesty Of The Seas,8/21/2013,98
V. Ships Leisure U.S.A.,MV Yorktown,8/22/2013,86
Norwegian Cruise Lines,Norwegian Pearl,8/11/2013,92
Royal Caribbean International,Oasis Of The Seas,8/31/2013,100
Cunard Line,Queen Mary 2,8/15/2013,92
Royal Caribbean International,Rhapsody Of The Seas,8/2/2013,98
Un-Cruise Adventures,Safari Endeavour,8/25/2013,98
Lindblad Expeditions,Sea Bird,8/25/2013,97
Regent Seven Seas,Seven Seas Navigator,8/24/2013,95
Silversea Cruises Ltd,Silver Shadow,8/22/2013,97
Princess Cruises,Star Princess,8/10/2013,100
Holland America Line,Veendam,8/24/2013,96
Holland America Line,Westerdam,8/3/2013,89
Aida Cruises,AIDAluna,9/15/2013,93
"Celebration Cruise Line, Ltd",Bahamas Celebration,9/19/2013,99
Bimini SuperFast,Bimini Superfast,9/24/2013,97
Royal Caribbean International,Brilliance Of The Seas,9/17/2013,94
Princess Cruises,Caribbean Princess,9/28/2013,98
"Carnival Cruise Lines, Inc.",Carnival Triumph,9/19/2013,95
"Crystal Cruises , Inc.",Crystal Symphony,9/16/2013,97
Princess Cruises,Diamond Princess,9/17/2013,98
Disney Cruise Lines,Disney Wonder,9/14/2013,91
Holland America Line,Eurodam,9/14/2013,100
Blount Small Ship Adventures,Grande Mariner,9/2/2013,89
Royal Caribbean International,Grandeur Of The Seas,9/19/2013,92
Hapag Lloyd Kreuzfahrten Gmbh,Hanseatic,9/9/2013,91
Compagnie Du Ponant SA,Le Boreal,9/29/2013,93
Holland America Line,Oosterdam,9/18/2013,87
Royal Caribbean International,Radiance Of The Seas,9/11/2013,95
Holland America Line,Statendam,9/15/2013,99
Holland America Line,Volendam,9/20/2013,100
Aida Cruises,AIDABella,10/16/2013,95
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,10/21/2013,99
"Carnival Cruise Lines, Inc.",Carnival Freedom,10/14/2013,100
"Carnival Cruise Lines, Inc.",Carnival Victory,10/24/2013,94
Celebrity Cruises,Celebrity Century,10/6/2013,98
Celebrity Cruises,Celebrity Solstice,10/3/2013,100
Princess Cruises,Coral Princess,10/24/2013,96
Princess Cruises,Emerald Princess,10/17/2013,96
Princess Cruises,Golden Princess,10/7/2013,99
V. Ships Leisure U.S.A.,MV Yorktown,10/31/2013,78
Holland America Line,Nieuw Amsterdam,10/27/2013,100
Norwegian Cruise Lines,Norwegian Breakaway,10/22/2013,97
Norwegian Cruise Lines,Norwegian Jewel,10/27/2013,98
Norwegian Cruise Lines,Norwegian Sky,10/11/2013,100
Norwegian Cruise Lines,Norwegian Star,10/13/2013,94
Norwegian Cruise Lines,Norwegian Sun,10/9/2013,93
Oceania Cruises,Regatta,10/27/2013,87
Princess Cruises,Royal Princess,10/29/2013,100
Seabourn Cruise Line,Seabourn Sojourn,10/28/2013,100
Holland America Line,Zuiderdam,10/28/2013,99
Royal Caribbean International,Adventure Of The Seas,11/17/2013,100
Azamara Cruises,Azamara Quest,11/26/2013,98
"Carnival Cruise Lines, Inc.",Carnival Dream,11/19/2013,99
"Carnival Cruise Lines, Inc.",Carnival Glory,11/1/2013,99
"Carnival Cruise Lines, Inc.",Carnival Liberty,11/2/2013,100
"Carnival Cruise Lines, Inc.",Carnival Paradise,11/7/2013,100
Celebrity Cruises,Celebrity Infinity,11/22/2013,96
Celebrity Cruises,Celebrity Millennium,11/2/2013,96
Princess Cruises,Crown Princess,11/9/2013,95
Disney Cruise Lines,Disney Magic,11/10/2013,91
Royal Caribbean International,Enchantment Of The Seas,11/8/2013,94
Holland America Line,Eurodam,11/21/2013,100
Royal Caribbean International,Freedom Of The Seas,11/20/2013,99
Princess Cruises,Grand Princess,11/1/2013,92
Royal Caribbean International,Independence of the Seas,11/15/2013,100
Royal Caribbean International,Jewel Of The Seas,11/16/2013,97
Royal Caribbean International,Majesty Of The Seas,11/4/2013,96
Norwegian Cruise Lines,Norwegian Epic,11/16/2013,100
Holland America Line,Ryndam,11/22/2013,99
Princess Cruises,Sapphire Princess,11/23/2013,96
Silversea Cruises Ltd,Silver Spirit,11/25/2013,93
Royal Caribbean International,Vision Of The Seas,11/11/2013,98
Holland America Line,Amsterdam,12/18/2013,95
"Carnival Cruise Lines, Inc.",Carnival Sunshine,12/3/2013,90
Celebrity Cruises,Celebrity Constellation,12/19/2013,99
Celebrity Cruises,Celebrity Eclipse,12/14/2013,94
Celebrity Cruises,Celebrity Equinox,12/20/2013,97
Celebrity Cruises,Celebrity Reflection,12/17/2013,90
Celebrity Cruises,Celebrity Summit,12/14/2013,98
Costa Crociere S.P.A.,Costa Luminosa,12/17/2013,100
Disney Cruise Lines,Disney Fantasy,12/18/2013,94
Royal Caribbean International,Grandeur Of The Seas,12/6/2013,94
Princess Cruises,Island Princess,12/21/2013,99
Royal Caribbean International,Liberty of the Seas,12/7/2013,96
Holland America Line,Maasdam,12/6/2013,99
V. Ships Leisure U.S.A.,MV Explorer,12/16/2013,100
Holland America Line,Noordam,12/19/2013,99
Norwegian Cruise Lines,Norwegian Dawn,12/8/2013,98
Norwegian Cruise Lines,Norwegian Pearl,12/8/2013,97
Oceania Cruises,Oceania Riviera,12/12/2013,100
Holland America Line,Prinsendam,12/22/2013,94
Princess Cruises,Ruby Princess,12/18/2013,100
Seabourn Cruise Line,Seabourn Pride,12/15/2013,90
Royal Caribbean International,Serenade Of The Seas,12/12/2013,98
Silversea Cruises Ltd,Silver Whisper,12/6/2013,96
P&O Cruises,Aurora,1/25/2014,97
Royal Caribbean International,Brilliance Of The Seas,1/13/2014,97
America Cruise Ferries,Caribbean Fantasy,1/17/2014,93
"Carnival Cruise Lines, Inc.",Carnival Elation,1/23/2014,98
"Carnival Cruise Lines, Inc.",Carnival Inspiration,1/24/2014,95
"Carnival Cruise Lines, Inc.",Carnival Miracle,1/26/2014,97
"Carnival Cruise Lines, Inc.",Carnival Splendor,1/15/2014,94
Celebrity Cruises,Celebrity Silhouette,1/26/2014,92
Disney Cruise Lines,Disney Dream,1/16/2014,100
Royal Caribbean International,Explorer Of The Seas,1/16/2014,95
Royal Caribbean International,Legend Of The Seas,1/24/2014,94
MSC Cruises (Mediterranean Shipping Company),MSC Divina,1/4/2014,94
Royal Caribbean International,Oasis Of The Seas,1/14/2014,97
Princess Cruises,Ocean Princess,1/27/2014,81
Cunard Line,Queen Elizabeth,1/21/2014,99
Cunard Line,Queen Mary 2,1/3/2014,99
Seabourn Cruise Line,Seabourn Sojourn,1/15/2014,97
Sea Dream Yacht Club,Seadream I,1/18/2014,83
Regent Seven Seas,Seven Seas Mariner,1/25/2014,97
Regent Seven Seas,Seven Seas Navigator,1/17/2014,95
Princess Cruises,Star Princess,1/11/2014,92
Holland America Line,Veendam,1/15/2014,99
Holland America Line,Westerdam,1/11/2014,98
P&O Cruises,Arcadia,2/1/2014,94
Princess Cruises,Caribbean Princess,2/22/2014,91
"Carnival Cruise Lines, Inc.",Carnival Fantasy,2/26/2014,99
"Carnival Cruise Lines, Inc.",Carnival Imagination,2/13/2014,96
"Carnival Cruise Lines, Inc.",Carnival Legend,2/16/2014,100
"Carnival Cruise Lines, Inc.",Carnival Sensation,2/13/2014,98
Costa Crociere S.P.A.,Costa Deliziosa,2/11/2014,94
Disney Cruise Lines,Disney Wonder,2/7/2014,91
Royal Caribbean International,Enchantment Of The Seas,2/14/2014,99
Holland America Line,Eurodam,2/22/2014,100
Royal Caribbean International,Navigator Of The Seas,2/23/2014,91
Holland America Line,Nieuw Amsterdam,2/20/2014,99
Norwegian Cruise Lines,Norwegian Star,2/16/2014,82
Norwegian Cruise Lines,Norwegian Sun,2/21/2014,86
Seabourn Cruise Line,Seabourn Pride,2/23/2014,96
Holland America Line,Statendam,2/14/2014,94
ResidenSea,The World,2/12/2014,98
Holland America Line,Zuiderdam,2/24/2014,96
Royal Caribbean International,Adventure Of The Seas,3/3/2014,93
Azamara Cruises,Azamara Quest,3/13/2014,94
"Carnival Cruise Lines, Inc.",Carnival Breeze,3/15/2014,97
"Carnival Cruise Lines, Inc.",Carnival Fascination,3/17/2014,95
"Carnival Cruise Lines, Inc.",Carnival Magic,3/11/2014,93
"Carnival Cruise Lines, Inc.",Carnival Pride,3/19/2014,96
"Carnival Cruise Lines, Inc.",Carnival Valor,3/2/2014,91
Celebrity Cruises,Celebrity Constellation,3/27/2014,99
Celebrity Cruises,Celebrity Eclipse,3/10/2014,97
Celebrity Cruises,Celebrity Equinox,3/14/2014,92
Celebrity Cruises,Celebrity Reflection,3/4/2014,95
Costa Crociere S.P.A.,Costa Luminosa,3/7/2014,95
Princess Cruises,Emerald Princess,3/7/2014,94
Princess Cruises,Grand Princess,3/22/2014,99
Royal Caribbean International,Liberty of the Seas,3/24/2014,93
Holland America Line,Noordam,3/21/2014,99
Norwegian Cruise Lines,Norwegian Breakaway,3/18/2014,89
Norwegian Cruise Lines,Norwegian Epic,3/30/2014,96
Norwegian Cruise Lines,Norwegian Gem,3/3/2014,97
Norwegian Cruise Lines,Norwegian Getaway,3/8/2014,96
Cunard Line,Queen Victoria,3/24/2014,93
Princess Cruises,Royal Princess,3/9/2014,86
Holland America Line,Ryndam,3/16/2014,96
Seabourn Cruise Line,Seabourn Quest,3/22/2014,94
Sea Dream Yacht Club,Seadream I,3/1/2014,93
Silversea Cruises Ltd,Silver Cloud,3/17/2014,89
Silversea Cruises Ltd,Silver Spirit,3/13/2014,97
Rederij Clipper Stad Amsterdam,Stad Amsterdam,3/18/2014,89
"Carnival Cruise Lines, Inc.",Carnival Dream,4/5/2014,96
"Carnival Cruise Lines, Inc.",Carnival Sunshine,4/27/2014,91
"Carnival Cruise Lines, Inc.",Carnival Triumph,4/26/2014,94
Celebrity Cruises,Celebrity Century,4/29/2014,99
Celebrity Cruises,Celebrity Silhouette,4/13/2014,97
Princess Cruises,Crown Princess,4/30/2014,91
Disney Cruise Lines,Disney Magic,4/4/2014,92
Royal Caribbean International,Freedom Of The Seas,4/6/2014,100
Blount Small Ship Adventures,Grande Caribe,4/27/2014,97
Royal Caribbean International,Legend Of The Seas,4/1/2014,96
Norwegian Cruise Lines,Norwegian Sky,4/14/2014,96
Norwegian Cruise Lines,Norwegian Star,4/25/2014,95
Oceania Cruises,Oceania Riviera,4/7/2014,99
Princess Cruises,Pacific Princess,4/25/2014,89
Royal Caribbean International,Radiance Of The Seas,4/26/2014,89
Un-Cruise Adventures,Safari Quest,4/19/2014,84
Princess Cruises,Star Princess,4/24/2014,87
Holland America Line,Zaandam,4/28/2014,95
Royal Caribbean International,Allure of the Seas,5/18/2014,98
Holland America Line,Amsterdam,5/13/2014,98
"NYK Cruises Co., LTD",Asuka II,5/30/2014,90
"Celebration Cruise Line, Ltd",Bahamas Celebration,5/19/2014,82
"Carnival Cruise Lines, Inc.",Carnival Conquest,5/11/2014,97
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,5/5/2014,100
"Carnival Cruise Lines, Inc.",Carnival Freedom,5/19/2014,94
"Carnival Cruise Lines, Inc.",Carnival Victory,5/17/2014,99
Celebrity Cruises,Celebrity Infinity,5/2/2014,100
"Crystal Cruises , Inc.",Crystal Symphony,5/30/2014,96
Disney Cruise Lines,Disney Fantasy,5/10/2014,97
Royal Caribbean International,Explorer Of The Seas,5/31/2014,96
Royal Caribbean International,Independence of the Seas,5/4/2014,95
Holland America Line,Maasdam,5/24/2014,91
Norwegian Cruise Lines,Norwegian Jewel,5/31/2014,100
Holland America Line,Oosterdam,5/28/2014,99
Royal Caribbean International,Rhapsody Of The Seas,5/30/2014,93
Un-Cruise Adventures,Safari Endeavour,5/25/2014,68
Lindblad Expeditions,Sea Bird,5/24/2014,89
Lindblad Expeditions,Sea Lion,5/25/2014,87
Silversea Cruises Ltd,Silver Shadow,5/27/2014,96
Royal Caribbean International,Vision Of The Seas,5/8/2014,100
Holland America Line,Volendam,5/23/2014,95
"Carnival Cruise Lines, Inc.",Carnival Breeze,6/7/2014,95
"Carnival Cruise Lines, Inc.",Carnival Elation,6/14/2014,97
"Carnival Cruise Lines, Inc.",Carnival Glory,6/21/2014,97
"Carnival Cruise Lines, Inc.",Carnival Imagination,6/1/2014,98
Celebrity Cruises,Celebrity Millennium,6/18/2014,100
Celebrity Cruises,Celebrity Solstice,6/30/2014,100
