cruise_line,cruise_ship,date,score
"Mitsui O.S.K. Passenger Line, Ltd",Nippon Maru,7/4/1998,36
"Carnival Cruise Lines, Inc.",Carnival Fantasy,8/2/1998,93
Disney Cruise Lines,Disney Magic,8/7/1998,88
Hapag Lloyd Kreuzfahrten Gmbh,Hanseatic,8/8/1998,62
Royal Caribbean International,Majesty Of The Seas,8/23/1998,93
Holland America Line,Ryndam,8/9/1998,93
Holland America Line,Statendam,8/6/1998,92
Princess Cruises,Sun Princess,8/5/1998,86
"Carnival Cruise Lines, Inc.",Carnival Elation,9/6/1998,92
"Carnival Cruise Lines, Inc.",Carnival Sensation,9/12/1998,86
Blount Small Ship Adventures,Grande Caribe,9/14/1998,95
Silversea Cruises Ltd,Silver Cloud,9/29/1998,97
Holland America Line,Veendam,9/16/1998,91
Royal Caribbean International,Vision Of The Seas,9/30/1998,96
Royal Caribbean International,Enchantment Of The Seas,10/25/1998,97
Hapag Lloyd Kreuzfahrten Gmbh,Hanseatic,10/5/1998,93
Holland America Line,Maasdam,10/19/1998,96
Royal Caribbean International,Rhapsody Of The Seas,10/6/1998,93
Lindblad Expeditions,Sea Bird,10/29/1998,89
Celebrity Cruises,Celebrity Century,11/7/1998,96
Princess Cruises,Grand Princess,11/8/1998,94
"Carnival Cruise Lines, Inc.",Carnival Imagination,12/5/1998,91
"Carnival Cruise Lines, Inc.",Carnival Inspiration,12/14/1998,91
"Carnival Cruise Lines, Inc.",Carnival Paradise,12/6/1998,95
Club Med Marine,Club Med 2,12/16/1998,95
"Crystal Cruises , Inc.",Crystal Symphony,12/22/1998,88
Princess Cruises,Dawn Princess,12/18/1998,79
Royal Caribbean International,Grandeur Of The Seas,12/15/1998,98
Holland America Line,Rotterdam,12/13/1998,96
Seabourn Cruise Line,Seabourn Legend,12/19/1998,94
Silversea Cruises Ltd,Silver Cloud,12/28/1998,91
"Carnival Cruise Lines, Inc.",Carnival Fantasy,1/28/1999,87
"Carnival Cruise Lines, Inc.",Carnival Sunshine,1/10/1999,81
Princess Cruises,Dawn Princess,1/30/1999,88
Peter Deilmann Cruises,Deutschland,1/6/1999,79
Disney Cruise Lines,Disney Magic,1/29/1999,88
Blount Small Ship Adventures,Grande Mariner,1/15/1999,92
Royal Caribbean International,Legend Of The Seas,1/23/1999,95
Royal Caribbean International,Majesty Of The Seas,1/24/1999,94
Princess Cruises,Sea Princess,1/9/1999,83
Seabourn Cruise Line,Seabourn Pride,1/7/1999,88
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,2/8/1999,87
"Carnival Cruise Lines, Inc.",Carnival Fascination,2/28/1999,99
"Carnival Cruise Lines, Inc.",Carnival Sunshine,2/21/1999,94
Holland America Line,Ryndam,2/2/1999,95
Princess Cruises,Sea Princess,2/20/1999,94
Holland America Line,Statendam,2/11/1999,93
Princess Cruises,Sun Princess,2/16/1999,93
"Carnival Cruise Lines, Inc.",Carnival Elation,3/28/1999,96
"Carnival Cruise Lines, Inc.",Carnival Sensation,3/7/1999,93
Club Med Marine,Club Med 2,3/4/1999,96
Holland America Line,Maasdam,3/18/1999,87
P&O Cruises,Oriana,3/14/1999,93
Silversea Cruises Ltd,Silver Wind,3/27/1999,96
Holland America Line,Veendam,3/7/1999,87
Royal Caribbean International,Vision Of The Seas,3/2/1999,87
Celebrity Cruises,Celebrity Century,4/24/1999,95
Blount Small Ship Adventures,Grande Caribe,4/24/1999,92
Royal Caribbean International,Monarch Of The Seas,4/11/1999,98
Royal Caribbean International,Rhapsody Of The Seas,4/26/1999,95
Holland America Line,Rotterdam,4/26/1999,97
Seabourn Cruise Line,Seabourn Legend,4/9/1999,91
Seabourn Cruise Line,Seabourn Pride,4/16/1999,95
"Carnival Cruise Lines, Inc.",Carnival Inspiration,5/23/1999,96
Princess Cruises,Grand Princess,5/2/1999,95
Royal Caribbean International,Grandeur Of The Seas,5/8/1999,93
"Japan Cruise Line, Inc",Pacific Venus,5/27/1999,77
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,6/28/1999,90
"Carnival Cruise Lines, Inc.",Carnival Fantasy,6/24/1999,88
"Carnival Cruise Lines, Inc.",Carnival Fascination,6/26/1999,96
"Carnival Cruise Lines, Inc.",Carnival Sunshine,6/27/1999,90
Disney Cruise Lines,Disney Magic,6/25/1999,95
Royal Caribbean International,Enchantment Of The Seas,6/13/1999,96
Holland America Line,Ryndam,6/17/1999,95
Lindblad Expeditions,Sea Bird,6/19/1999,77
Lindblad Expeditions,Sea Lion,6/20/1999,92
Holland America Line,Statendam,6/16/1999,89
Royal Caribbean International,Vision Of The Seas,6/18/1999,98
"Carnival Cruise Lines, Inc.",Carnival Elation,7/18/1999,91
"Mitsui O.S.K. Passenger Line, Ltd",Nippon Maru,7/10/1999,98
Holland America Line,Veendam,7/7/1999,91
"Carnival Cruise Lines, Inc.",Carnival Sensation,8/22/1999,88
"Carnival Cruise Lines, Inc.",Carnival Triumph,8/9/1999,89
Princess Cruises,Dawn Princess,8/11/1999,97
Blount Small Ship Adventures,Grande Caribe,8/20/1999,90
Royal Caribbean International,Monarch Of The Seas,8/22/1999,88
V. Ships Leisure U.S.A.,MV Yorktown,8/14/1999,93
Lindblad Expeditions,Sea Bird,8/14/1999,90
Princess Cruises,Sea Princess,8/10/1999,98
"Carnival Cruise Lines, Inc.",Carnival Imagination,9/20/1999,98
"Carnival Cruise Lines, Inc.",Carnival Paradise,9/19/1999,94
Peter Deilmann Cruises,Deutschland,9/5/1999,91
Disney Cruise Lines,Disney Wonder,9/9/1999,95
Blount Small Ship Adventures,Grande Mariner,9/4/1999,90
Hapag Lloyd Kreuzfahrten Gmbh,Hanseatic,9/22/1999,97
Royal Caribbean International,Majesty Of The Seas,9/5/1999,89
Princess Cruises,Sun Princess,9/8/1999,97
Holland America Line,Maasdam,10/21/1999,91
Royal Caribbean International,Rhapsody Of The Seas,10/10/1999,92
Silversea Cruises Ltd,Silver Cloud,10/10/1999,98
"Carnival Cruise Lines, Inc.",Carnival Fantasy,11/11/1999,93
Celebrity Cruises,Celebrity Century,11/6/1999,94
Princess Cruises,Grand Princess,11/10/1999,92
Royal Caribbean International,Grandeur Of The Seas,11/9/1999,92
Holland America Line,Ryndam,11/20/1999,96
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,12/10/1999,89
"Carnival Cruise Lines, Inc.",Carnival Fascination,12/12/1999,92
"Carnival Cruise Lines, Inc.",Carnival Inspiration,12/13/1999,92
Club Med Marine,Club Med 2,12/14/1999,94
Disney Cruise Lines,Disney Magic,12/3/1999,94
Hapag Lloyd Kreuzfahrten Gmbh,Europa,12/11/1999,96
Norwegian Cruise Lines,Norwegian Sky,12/12/1999,98
Holland America Line,Rotterdam,12/6/1999,91
Regent Seven Seas,Seven Seas Navigator,12/17/1999,76
Holland America Line,Veendam,12/19/1999,95
Royal Caribbean International,Voyager Of The Seas,12/19/1999,94
"Carnival Cruise Lines, Inc.",Carnival Sunshine,1/30/2000,94
"Crystal Cruises , Inc.",Crystal Symphony,1/20/2000,100
Princess Cruises,Dawn Princess,1/9/2000,94
Royal Caribbean International,Enchantment Of The Seas,1/23/2000,93
P&O Cruises,Oriana,1/27/2000,98
Seabourn Cruise Line,Seabourn Legend,1/12/2000,92
Seabourn Cruise Line,Seabourn Pride,1/8/2000,92
Regent Seven Seas,Seven Seas Navigator,1/22/2000,96
Holland America Line,Statendam,1/18/2000,92
Holland America Line,Volendam,1/5/2000,96
"Carnival Cruise Lines, Inc.",Carnival Elation,2/13/2000,100
"Carnival Cruise Lines, Inc.",Carnival Paradise,2/20/2000,93
"Carnival Cruise Lines, Inc.",Carnival Sensation,2/6/2000,93
"Carnival Cruise Lines, Inc.",Carnival Triumph,2/19/2000,98
Disney Cruise Lines,Disney Wonder,2/3/2000,95
Holland America Line,Maasdam,2/21/2000,96
Princess Cruises,Sun Princess,2/14/2000,93
Japan Grace,TSS Oceanic,2/4/2000,96
"Mitsui O.S.K. Passenger Line, Ltd",Fuji Maru,3/31/2000,92
Royal Caribbean International,Majesty Of The Seas,3/11/2000,94
Royal Caribbean International,Monarch Of The Seas,3/12/2000,98
"Japan Cruise Line, Inc",Pacific Venus,3/29/2000,78
Royal Caribbean International,Vision Of The Seas,3/1/2000,91
Club Med Marine,Club Med 2,4/6/2000,77
Blount Small Ship Adventures,Grande Mariner,4/25/2000,75
"Japan Cruise Line, Inc",Pacific Venus,4/28/2000,87
Royal Caribbean International,Rhapsody Of The Seas,4/27/2000,94
Princess Cruises,Sea Princess,4/15/2000,97
Seabourn Cruise Line,Seabourn Legend,4/19/2000,88
Seabourn Cruise Line,Seabourn Pride,4/7/2000,92
Holland America Line,Veendam,4/9/2000,94
Holland America Line,Volendam,4/11/2000,94
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,5/22/2000,94
"Carnival Cruise Lines, Inc.",Carnival Fascination,5/20/2000,96
"Carnival Cruise Lines, Inc.",Carnival Imagination,5/20/2000,90
Celebrity Cruises,Celebrity Century,5/27/2000,94
Disney Cruise Lines,Disney Magic,5/15/2000,96
Princess Cruises,Grand Princess,5/14/2000,97
Blount Small Ship Adventures,Grande Caribe,5/17/2000,95
Royal Caribbean International,Grandeur Of The Seas,5/27/2000,96
V. Ships Leisure U.S.A.,MV Yorktown,5/30/2000,92
Norwegian Cruise Lines,Norwegian Sky,5/11/2000,98
Holland America Line,Ryndam,5/9/2000,97
Lindblad Expeditions,Sea Bird,5/3/2000,92
Lindblad Expeditions,Sea Lion,5/3/2000,89
Holland America Line,Statendam,5/10/2000,94
Holland America Line,Zaandam,5/27/2000,93
"Carnival Cruise Lines, Inc.",Carnival Fantasy,6/29/2000,93
"Carnival Cruise Lines, Inc.",Carnival Inspiration,6/25/2000,95
Royal Caribbean International,Enchantment Of The Seas,6/11/2000,94
Blount Small Ship Adventures,Grande Mariner,6/13/2000,91
"Mitsui O.S.K. Passenger Line, Ltd",Nippon Maru,6/12/2000,99
Regent Seven Seas,Seven Seas Navigator,6/3/2000,98
Royal Caribbean International,Vision Of The Seas,6/2/2000,95
Royal Caribbean International,Voyager Of The Seas,6/11/2000,94
"Carnival Cruise Lines, Inc.",Carnival Sensation,7/16/2000,92
"Carnival Cruise Lines, Inc.",Carnival Sunshine,7/29/2000,94
Princess Cruises,Dawn Princess,7/10/2000,96
Disney Cruise Lines,Disney Wonder,7/23/2000,95
Princess Cruises,Sea Princess,7/13/2000,96
Japan Grace,TSS Oceanic,7/24/2000,84
"Carnival Cruise Lines, Inc.",Carnival Elation,8/6/2000,98
"Carnival Cruise Lines, Inc.",Carnival Triumph,8/19/2000,97
Royal Caribbean International,Majesty Of The Seas,8/18/2000,90
Royal Caribbean International,Monarch Of The Seas,8/21/2000,91
Lindblad Expeditions,Sea Lion,8/12/2000,92
Princess Cruises,Sun Princess,8/10/2000,93
Japan Grace,TSS Oceanic,8/28/2000,91
"Carnival Cruise Lines, Inc.",Carnival Imagination,9/28/2000,96
"Carnival Cruise Lines, Inc.",Carnival Paradise,9/3/2000,87
"Carnival Cruise Lines, Inc.",Carnival Victory,9/28/2000,97
Blount Small Ship Adventures,Grande Caribe,9/19/2000,93
Blount Small Ship Adventures,Grande Mariner,9/17/2000,87
Hapag Lloyd Kreuzfahrten Gmbh,Hanseatic,9/15/2000,97
V. Ships Leisure U.S.A.,MV Yorktown,9/15/2000,90
P&O Cruises,Oriana,9/20/2000,99
Lindblad Expeditions,Sea Bird,9/19/2000,96
Silversea Cruises Ltd,Silver Wind,9/22/2000,96
Holland America Line,Zaandam,9/2/2000,93
Holland America Line,Amsterdam,10/30/2000,93
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,10/20/2000,94
"Carnival Cruise Lines, Inc.",Carnival Fantasy,10/29/2000,93
Celebrity Cruises,Celebrity Century,10/20/2000,93
Royal Caribbean International,Grandeur Of The Seas,10/17/2000,97
Holland America Line,Maasdam,10/18/2000,96
Norwegian Cruise Lines,Norwegian Sky,10/19/2000,97
Royal Caribbean International,Rhapsody Of The Seas,10/8/2000,94
Seabourn Cruise Line,Seabourn Pride,10/16/2000,95
Silversea Cruises Ltd,Silver Shadow,10/24/2000,97
Holland America Line,Veendam,10/5/2000,86
Holland America Line,Volendam,10/23/2000,98
Costa Crociere S.P.A.,Costa Atlantica,11/19/2000,98
